date, temperature, precipitation, snow accumulate, switch
----- day 1 -----
2017-01-28 12:20:00, -4.3, 0.004, 0.0508833578637, on
2017-01-28 12:20:30, -4.0, 0.004, 0.0476285471813, on
2017-01-28 12:21:00, -4.0, 0.004, 0.0431298189728, off
2017-01-28 12:21:30, -4.0, 0.004, 0.0410609294221, off
2017-01-28 12:22:00, -4.0, 0.004, 0.040513502493, off
2017-01-28 12:22:30, -4.0, 0.004, 0.0409187567171, off
2017-01-28 12:23:00, -4.0, 0.004, 0.0419205484121, off
2017-01-28 12:23:30, -4.0, 0.004, 0.043295877452, off
2017-01-28 12:24:00, -4.0, 0.004, 0.0449051118035, off
2017-01-28 12:24:30, -4.0, 0.004, 0.0466608205244, off
2017-01-28 12:25:00, -4.0, 0.004, 0.0485082584863, off
2017-01-28 12:25:30, -4.0, 0.004, 0.0504131468461, off
2017-01-28 12:26:00, -4.0, 0.004, 0.0523540217651, on
2017-01-28 12:26:30, -4.0, 0.004, 0.0511087345525, on
2017-01-28 12:27:00, -4.0, 0.004, 0.0478684363093, on
2017-01-28 12:27:30, -4.0, 0.004, 0.0433789685479, off
2017-01-28 12:28:00, -4.0, 0.004, 0.0413160503198, off
2017-01-28 12:28:30, -4.0, 0.004, 0.0407725343073, off
2017-01-28 12:29:00, -4.0, 0.004, 0.0411804084147, off
2017-01-28 12:29:30, -4.0, 0.004, 0.0421840107119, off
2017-01-28 12:30:00, -4.0, 0.004, 0.0435606427307, off
2017-01-28 12:30:30, -4.1, 0.004, 0.0451913870815, off
2017-01-28 12:31:00, -4.1, 0.004, 0.04696847428, off
2017-01-28 12:31:30, -4.1, 0.004, 0.0488372337664, off
2017-01-28 12:32:00, -4.1, 0.004, 0.0507634334658, off
2017-01-28 12:32:30, -4.1, 0.004, 0.0527033462807, on
2017-01-28 12:33:00, -4.1, 0.004, 0.0514570721965, on
2017-01-28 12:33:30, -4.1, 0.004, 0.0482157729594, on
2017-01-28 12:34:00, -4.1, 0.004, 0.043725296747, off
2017-01-28 12:34:30, -4.1, 0.004, 0.0416613667834, off
2017-01-28 12:35:00, -4.1, 0.004, 0.041116839088, off
2017-01-28 12:35:30, -4.1, 0.004, 0.0415237036484, off
2017-01-28 12:36:00, -4.1, 0.004, 0.0425262998328, off
2017-01-28 12:36:30, -4.1, 0.004, 0.0439019299804, off
2017-01-28 12:37:00, -4.1, 0.004, 0.0455111514484, off
2017-01-28 12:37:30, -4.1, 0.004, 0.0472666518837, off
2017-01-28 12:38:00, -4.1, 0.004, 0.0491137604143, off
2017-01-28 12:38:30, -4.1, 0.004, 0.0510182446942, off
2017-01-28 12:39:00, -4.1, 0.004, 0.0529586700005, on
2017-01-28 12:39:30, -4.1, 0.004, 0.0517129058744, on
2017-01-28 12:40:00, -4.1, 0.004, 0.0484721144394, on
2017-01-28 12:40:30, -4.0, 0.004, 0.043984147146, off
2017-01-28 12:41:00, -4.0, 0.004, 0.0419227166185, off
2017-01-28 12:41:30, -4.0, 0.004, 0.0413806775965, off
2017-01-28 12:42:00, -4.0, 0.004, 0.0417900192913, off
2017-01-28 12:42:30, -4.0, 0.004, 0.04279508061, off
2017-01-28 12:43:00, -4.0, 0.004, 0.0441731636259, off
2017-01-28 12:43:30, -4.0, 0.004, 0.0457848255529, off
2017-01-28 12:44:00, -4.0, 0.004, 0.0475427539705, off
2017-01-28 12:44:30, -4.0, 0.004, 0.0493922779861, off
2017-01-28 12:45:00, -4.0, 0.004, 0.0512991652629, off
2017-01-28 12:45:30, -4.0, 0.004, 0.0532419811046, on
2017-01-28 12:46:00, -4.0, 0.004, 0.0519985950907, on
2017-01-28 12:46:30, -4.0, 0.004, 0.0487601710401, on
2017-01-28 12:47:00, -4.0, 0.004, 0.0442725584292, off
2017-01-28 12:47:30, -4.0, 0.004, 0.0422114813, off
2017-01-28 12:48:00, -4.0, 0.004, 0.0416697942291, off
2017-01-28 12:48:30, -4.0, 0.004, 0.0420794863317, off
2017-01-28 12:49:00, -4.0, 0.004, 0.0430848964594, off
2017-01-28 12:49:30, -4.0, 0.004, 0.044463326656, off
2017-01-28 12:50:00, -4.0, 0.004, 0.0460753341218, off
2017-01-28 12:50:30, -4.1, 0.004, 0.0478341314895, off
2017-01-28 12:51:00, -4.1, 0.004, 0.0496845213489, off
2017-01-28 12:51:30, -4.1, 0.004, 0.0515922713652, off
2017-01-28 12:52:00, -4.1, 0.004, 0.05353594685, on
2017-01-28 12:52:30, -4.1, 0.004, 0.0522934173936, on
2017-01-28 12:53:00, -4.1, 0.004, 0.0490558473211, on
2017-01-28 12:53:30, -4.1, 0.004, 0.0445690864252, off
2017-01-28 12:54:00, -4.1, 0.004, 0.0425088589462, off
2017-01-28 12:54:30, -4.1, 0.004, 0.041968019099, off
2017-01-28 12:55:00, -4.1, 0.004, 0.042378555779, off
2017-01-28 12:55:30, -4.1, 0.004, 0.0433848077069, off
2017-01-28 12:56:00, -4.1, 0.004, 0.0447640768507, off
2017-01-28 12:56:30, -4.1, 0.004, 0.0463769203697, off
2017-01-28 12:57:00, -4.1, 0.004, 0.0481360258195, off
2017-01-28 12:57:30, -4.1, 0.004, 0.0499867223033, off
2017-01-28 12:58:00, -4.1, 0.004, 0.0518947774919, off
2017-01-28 12:58:30, -4.1, 0.004, 0.0538387567041, on
2017-01-28 12:59:00, -4.1, 0.004, 0.0525965295388, on
2017-01-28 12:59:30, -4.1, 0.004, 0.049359260504, on
2017-01-28 13:00:00, -4.1, 0.004, 0.0448727995069, off
2017-01-28 13:00:30, -4.2, 0.004, 0.0428131637895, off
2017-01-28 13:01:00, -4.2, 0.004, 0.0422729145596, off
2017-01-28 13:01:30, -4.2, 0.004, 0.0426840405977, off
